Title,Authors,Publication Name,Publication Year,DOI,Link
Performance evaluation for Q-learning based anycast routing protocol in unmanned aerial vehicle networks with multiple base stations,Xiang Y.,Ad Hoc Networks,2025-03-01,10.1016/j.adhoc.2024.103719,https://api.elsevier.com/content/abstract/scopus_id/85210289150
A hyper-heuristic optimization multi-task allocation in mobile crowdsensing based on inherent attributes,Cao H.,Ad Hoc Networks,2025-03-01,10.1016/j.adhoc.2024.103717,https://api.elsevier.com/content/abstract/scopus_id/85210289136
A robust variational mode decomposition based deep random vector functional link network for dynamic system identification,Pattanaik R.K.,Computers and Electrical Engineering,2025-03-01,10.1016/j.compeleceng.2024.109887,https://api.elsevier.com/content/abstract/scopus_id/85210287824
New ECG biomarkers and sex-stratified models for the detection of Arrhythmogenic Cardiomyopathy with left ventricular involvement,Jiménez-Serrano S.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107224,https://api.elsevier.com/content/abstract/scopus_id/85210287402
Integration of public libraries and cultural tourism in China: An analysis of library attractiveness components based on tourist review mining,Jiang T.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.104000,https://api.elsevier.com/content/abstract/scopus_id/85210285510
Quantum machine learning for recognition of defects in ultrasonic imaging,Dubey A.,NDT and E International,2025-03-01,10.1016/j.ndteint.2024.103262,https://api.elsevier.com/content/abstract/scopus_id/85210285486
Machine-learning-accelerated density functional theory screening of Cu-based high-entropy alloys for carbon dioxide reduction to ethylene,Rittiruam M.,Applied Surface Science,2025-03-01,10.1016/j.apsusc.2024.161919,https://api.elsevier.com/content/abstract/scopus_id/85210284170
Diagnostics and Prognostics in Power Plants: A systematic review,Cheng W.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110663,https://api.elsevier.com/content/abstract/scopus_id/85210284107
Let long-term interests talk: An disentangled learning model for recommendation based on short-term interests generation,Duan S.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.103997,https://api.elsevier.com/content/abstract/scopus_id/85210283763
Predicting abnormal C-reactive protein level for improving utilization by deep neural network model,Mo D.,International Journal of Medical Informatics,2025-03-01,10.1016/j.ijmedinf.2024.105726,https://api.elsevier.com/content/abstract/scopus_id/85210283473
Selective solvothermal extraction of tetrabromobisphenol A to promote plastic recycling,Auvinen P.,Chemical Engineering Journal Advances,2025-03-01,10.1016/j.ceja.2024.100688,https://api.elsevier.com/content/abstract/scopus_id/85210281488
DIAGEMHMM: HMM based on diagonal occupation matrices and EM algorithms for Mendel's law of heredity,He C.,Applied Mathematical Modelling,2025-03-01,10.1016/j.apm.2024.115832,https://api.elsevier.com/content/abstract/scopus_id/85210281258
Towards prompt tuning-based software vulnerability assessment with continual learning,Xue J.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104184,https://api.elsevier.com/content/abstract/scopus_id/85210280716
Near-surface defect detection in ultrasonic testing using domain-knowledge-informed self-supervised learning,Jeon M.,Ultrasonics,2025-03-01,10.1016/j.ultras.2024.107528,https://api.elsevier.com/content/abstract/scopus_id/85210276557
More accurate theoretical prediction of mechanical behavior of viscoelastic–viscoplastic rock tunnels using combined supporting system,Zhao N.,Applied Mathematical Modelling,2025-03-01,10.1016/j.apm.2024.115846,https://api.elsevier.com/content/abstract/scopus_id/85210275923
An interpretable client decision tree aggregation process for federated learning,Argente-Garrido A.,Information Sciences,2025-03-01,10.1016/j.ins.2024.121711,https://api.elsevier.com/content/abstract/scopus_id/85210274295
Advancing machine learning in Industry 4.0: Benchmark framework for rare-event prediction in chemical processes,Sudarshan V.,Computers and Chemical Engineering,2025-03-01,10.1016/j.compchemeng.2024.108929,https://api.elsevier.com/content/abstract/scopus_id/85210272065
"Hydrogen production by the water-gas shift reaction: A comprehensive review on catalysts, kinetics, and reaction mechanism",Dehimi L.,Fuel Processing Technology,2025-03-01,10.1016/j.fuproc.2024.108163,https://api.elsevier.com/content/abstract/scopus_id/85210270992
Unsupervised object-based spectral unmixing for subpixel mapping,Zhang C.,Remote Sensing of Environment,2025-03-01,10.1016/j.rse.2024.114514,https://api.elsevier.com/content/abstract/scopus_id/85210270100
Dynamic analysis and optimization design of parallel/cross-feed MED-TVC systems considering fouling characteristics,Zhang H.,International Journal of Heat and Mass Transfer,2025-03-01,10.1016/j.ijheatmasstransfer.2024.126490,https://api.elsevier.com/content/abstract/scopus_id/85210269732
Influence of technological environment and mediation on dialogical argumentative interactions,Tuzinkievicz M.A.,European Journal of Psychology of Education,2025-03-01,10.1007/s10212-024-00909-3,https://api.elsevier.com/content/abstract/scopus_id/85210255190
A GIS-based tool for dynamic assessment of community susceptibility to flash flooding,Wilkho R.S.,Journal of Flood Risk Management,2025-03-01,10.1111/jfr3.13049,https://api.elsevier.com/content/abstract/scopus_id/85210158477
Ammonia–air laminar flame speeds from ambient to IC engine conditions: A review,Goodman J.,Fuel,2025-03-01,10.1016/j.fuel.2024.133769,https://api.elsevier.com/content/abstract/scopus_id/85210139977
DCIB: Dual contrastive information bottleneck for knowledge-aware recommendation,Guo Q.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.103980,https://api.elsevier.com/content/abstract/scopus_id/85210139643
Bias-guided margin loss for robust Visual Question Answering,Sun Y.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.103988,https://api.elsevier.com/content/abstract/scopus_id/85210139111
Designing a sustainable-resilient vaccine cold chain network in uncertain environments,Chen Y.,Computers and Chemical Engineering,2025-03-01,10.1016/j.compchemeng.2024.108936,https://api.elsevier.com/content/abstract/scopus_id/85210138905
Harnack type inequality and Liouville theorem for subcritical fully nonlinear equations,Zhang W.,Applied Mathematics Letters,2025-03-01,10.1016/j.aml.2024.109402,https://api.elsevier.com/content/abstract/scopus_id/85210137834
Data-driven analysis in the selective oligomerization of long-chain linear alpha olefin on zeolite catalysts: A machine learning-based parameter study,Lee S.W.,Fuel Processing Technology,2025-03-01,10.1016/j.fuproc.2024.108164,https://api.elsevier.com/content/abstract/scopus_id/85210137768
Automated Detection of Central Retinal Artery Occlusion Using OCT Imaging via Explainable Deep Learning,Beuse A.,Ophthalmology Science,2025-03-01,10.1016/j.xops.2024.100630,https://api.elsevier.com/content/abstract/scopus_id/85210137667
A hybrid machine learning and simulation framework for modeling and understanding disinformation-induced disruptions in public transit systems,Khameneh R.T.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110656,https://api.elsevier.com/content/abstract/scopus_id/85210137313
An efficient vision transformer for Alzheimer's disease classification using magnetic resonance images,Lu S.Y.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107263,https://api.elsevier.com/content/abstract/scopus_id/85210135873
Fertilization and rotation enhance tobacco yield by regulating soil physicochemical and microbial properties,Jiang Y.,Soil and Tillage Research,2025-03-01,10.1016/j.still.2024.106364,https://api.elsevier.com/content/abstract/scopus_id/85210135438
Optimal power flow solution via noise-resilient quantum interior-point methods,Amani F.,Electric Power Systems Research,2025-03-01,10.1016/j.epsr.2024.111216,https://api.elsevier.com/content/abstract/scopus_id/85210134146
Covert timing channel detection based on isolated binary trees,Lin Y.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104200,https://api.elsevier.com/content/abstract/scopus_id/85210133635
Development of signal processing algorithms for delamination detection in composite laminates using non-contact excited Lamb waves,Lecointre L.A.C.,Ultrasonics,2025-03-01,10.1016/j.ultras.2024.107524,https://api.elsevier.com/content/abstract/scopus_id/85210132949
Black start from renewable energy resources: Review and a case study of Great Britain,Pan Z.,Renewable and Sustainable Energy Reviews,2025-03-01,10.1016/j.rser.2024.115143,https://api.elsevier.com/content/abstract/scopus_id/85210132911
A conceptual digital twin framework for supply chain recovery and resilience,Ogunsoto O.V.,Supply Chain Analytics,2025-03-01,10.1016/j.sca.2024.100091,https://api.elsevier.com/content/abstract/scopus_id/85210132760
A microstructure sensitive machine learning-based approach for predicting fatigue life of additively manufactured parts,Kishore P.,International Journal of Fatigue,2025-03-01,10.1016/j.ijfatigue.2024.108724,https://api.elsevier.com/content/abstract/scopus_id/85210132549
Joint optimization of preventive maintenance and product quality improvement policies for deteriorating manufacturing systems with quality-reliability dependency,Zhang J.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110661,https://api.elsevier.com/content/abstract/scopus_id/85210132387
Human touch vs. AI tech: Understanding user preferences in the future of education,Shao A.,Computers in Human Behavior,2025-03-01,10.1016/j.chb.2024.108492,https://api.elsevier.com/content/abstract/scopus_id/85210131816
A reliability anomaly detection method based on enhanced GRU-Autoencoder for Vehicular Fog Computing services,Wang Y.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104217,https://api.elsevier.com/content/abstract/scopus_id/85210130827
Advancing rule learning in knowledge graphs with structure-aware graph transformer,Xu K.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.103976,https://api.elsevier.com/content/abstract/scopus_id/85210129659
Multilevel on-the-fly sparse grids for coupling coarse-grained and high fidelity models in heterogeneous catalysis,Hülser T.,Computers and Chemical Engineering,2025-03-01,10.1016/j.compchemeng.2024.108922,https://api.elsevier.com/content/abstract/scopus_id/85210129532
Study on structure and electrical properties of BNBT-La<inf>2/3</inf>ZrO<inf>3</inf> ceramic,He J.,Journal of Physics and Chemistry of Solids,2025-03-01,10.1016/j.jpcs.2024.112483,https://api.elsevier.com/content/abstract/scopus_id/85210129497
Markov model based coverage testing of deep learning software systems,Shi Y.,Information and Software Technology,2025-03-01,10.1016/j.infsof.2024.107628,https://api.elsevier.com/content/abstract/scopus_id/85210129407
CFDformer: Medical image segmentation based on cross fusion dual attention network,Yang Z.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107208,https://api.elsevier.com/content/abstract/scopus_id/85210127641
An enhanced ResNet deep learning method for multimodal signal-based locomotion intention recognition,Sun H.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107254,https://api.elsevier.com/content/abstract/scopus_id/85210127551
The evaluation of health recommender systems: A scoping review,Ananthakrishnan A.,International Journal of Medical Informatics,2025-03-01,10.1016/j.ijmedinf.2024.105697,https://api.elsevier.com/content/abstract/scopus_id/85210127202
Evaluating China's 2030 carbon peak goal: Post-COVID-19 systematic review,Huang C.,Renewable and Sustainable Energy Reviews,2025-03-01,10.1016/j.rser.2024.115128,https://api.elsevier.com/content/abstract/scopus_id/85210127198
An efficient sequential Kriging model for structure safety lifetime analysis considering uncertain degradation,Hao P.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110669,https://api.elsevier.com/content/abstract/scopus_id/85210126254
Active sensitivity coefficient-guided reinforcement learning for power grid real-time dispatching,Yang N.,Electric Power Systems Research,2025-03-01,10.1016/j.epsr.2024.111267,https://api.elsevier.com/content/abstract/scopus_id/85210126192
DTAUE: A multi-input multi-branch decoupled semi-supervised 3D network based on threshold adaptive uncertainty estimation for echocardiography segmentation,Qin C.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107212,https://api.elsevier.com/content/abstract/scopus_id/85210124682
Co-pyrolysis of coal-derived sludge and low-rank coal: Thermal behaviour and char yield prediction,Zhang T.,Fuel Processing Technology,2025-03-01,10.1016/j.fuproc.2024.108165,https://api.elsevier.com/content/abstract/scopus_id/85210124339
An alternative to code comment generation? Generating comment from bytecode,Chen X.,Information and Software Technology,2025-03-01,10.1016/j.infsof.2024.107623,https://api.elsevier.com/content/abstract/scopus_id/85210122006
Analyzing Financial Implications and Optimal Bus Selection Strategies for False Data Injection Attacks in Power Grids,Singh K.,Electric Power Systems Research,2025-03-01,10.1016/j.epsr.2024.111259,https://api.elsevier.com/content/abstract/scopus_id/85210121400
Recent progress on heterogeneous catalytic formic acid decomposition for hydrogen production,Li H.,Fuel,2025-03-01,10.1016/j.fuel.2024.133824,https://api.elsevier.com/content/abstract/scopus_id/85210120854
Risk prediction of arrhythmia after percutaneous coronary intervention in patients with acute coronary syndrome: A systematic review and meta-analysis,Yan R.,International Journal of Medical Informatics,2025-03-01,10.1016/j.ijmedinf.2024.105711,https://api.elsevier.com/content/abstract/scopus_id/85210120414
Utilizing artificial intelligence to determine bone mineral density using spectral CT,Li Y.,Bone,2025-03-01,10.1016/j.bone.2024.117321,https://api.elsevier.com/content/abstract/scopus_id/85210117651
Risk analysis of weather-related railroad accidents in the United States,Zhang Z.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110647,https://api.elsevier.com/content/abstract/scopus_id/85210117537
Adaptive CLIP for open-domain 3D model retrieval,Song D.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.103989,https://api.elsevier.com/content/abstract/scopus_id/85210117452
Overpotential engineering enables dendrite-free zinc anode for high-performance zinc-ion batteries,Li H.,Journal of Colloid and Interface Science,2025-03-01,10.1016/j.jcis.2024.11.182,https://api.elsevier.com/content/abstract/scopus_id/85210116728
Lexicographic optimization-based approaches to learning a representative model for multi-criteria sorting with non-monotonic criteria,Zhang Z.,Computers and Operations Research,2025-03-01,10.1016/j.cor.2024.106917,https://api.elsevier.com/content/abstract/scopus_id/85210116374
Integrating generative AI into digital multimodal composition: A study of multicultural second-language classrooms,Lin C.H.,Computers and Composition,2025-03-01,10.1016/j.compcom.2024.102895,https://api.elsevier.com/content/abstract/scopus_id/85210113795
Reactive power optimization via deep transfer reinforcement learning for efficient adaptation to multiple scenarios,Bi C.,International Journal of Electrical Power and Energy Systems,2025-03-01,10.1016/j.ijepes.2024.110376,https://api.elsevier.com/content/abstract/scopus_id/85210104158
Advancing flood susceptibility prediction: A comparative assessment and scalability analysis of machine learning algorithms via artificial intelligence in high-risk regions of Pakistan,Waleed M.,Journal of Flood Risk Management,2025-03-01,10.1111/jfr3.13047,https://api.elsevier.com/content/abstract/scopus_id/85210100876
Genetically-based active flow control of a circular cylinder wake via synthetic jets,Scala A.,Experimental Thermal and Fluid Science,2025-03-01,10.1016/j.expthermflusci.2024.111362,https://api.elsevier.com/content/abstract/scopus_id/85210097251
An electrical model-free three-phase OPF for PV-rich LV networks using smart meter and transformer data,Simonovska A.,Electric Power Systems Research,2025-03-01,10.1016/j.epsr.2024.111284,https://api.elsevier.com/content/abstract/scopus_id/85210094869
ERU-Net: A novel effective 2D residual neural network for brain tumors semantic segmentation from multimodal MRI,Mohammed Y.M.A.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107235,https://api.elsevier.com/content/abstract/scopus_id/85210093457
CD-Net: Robust mobile traffic classification against apps updating,Chen Y.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104214,https://api.elsevier.com/content/abstract/scopus_id/85210089355
Automatic segmentation of prostate and organs at risk in CT images using an encoder–decoder structure based on residual neural network,Gutiérrez-Ramos S.M.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107234,https://api.elsevier.com/content/abstract/scopus_id/85210087072
"Risky facilities, physical site features, and comparing crime between urban parks",Spencer M.D.,Security Journal,2025-03-01,10.1057/s41284-024-00453-1,https://api.elsevier.com/content/abstract/scopus_id/85210077069
DMFC-UFormer: Depthwise multi-scale factorized convolution transformer-based UNet for medical image segmentation,Garbaz A.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107200,https://api.elsevier.com/content/abstract/scopus_id/85210073814
Improved LSTM-Squeeze Net Architecture for brain activity detection using EEG with improved feature set,Mastan Sharif S.K.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107222,https://api.elsevier.com/content/abstract/scopus_id/85210071412
A proactive opportunistic maintenance decision model based on reliability in train systems,He Z.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110645,https://api.elsevier.com/content/abstract/scopus_id/85210069648
Fuzzy clustering of mixed data with spatial regularization,D'Urso P.,Spatial Statistics,2025-03-01,10.1016/j.spasta.2024.100874,https://api.elsevier.com/content/abstract/scopus_id/85210068695
Preharvest methyl jasmonate maintain the shelf quality of kiwifruit after cold storage by regulating the antioxidant system,Yang X.,Postharvest Biology and Technology,2025-03-01,10.1016/j.postharvbio.2024.113335,https://api.elsevier.com/content/abstract/scopus_id/85210067774
Mixed style network based: A novel rotating machinery fault diagnosis method through batch spectral penalization,Li X.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110667,https://api.elsevier.com/content/abstract/scopus_id/85210064600
SLP-Net:An efficient lightweight network for segmentation of skin lesions,Yang B.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107242,https://api.elsevier.com/content/abstract/scopus_id/85210063284
Integrated DNN and CFD model for real-time prediction of furnace waterwall slagging of coal-fired boiler,Yin H.,Fuel,2025-03-01,10.1016/j.fuel.2024.133847,https://api.elsevier.com/content/abstract/scopus_id/85210061969
Effect of complex orography on numerical simulations of a downburst event in Spain,Díaz-Fernández J.,Atmospheric Research,2025-03-01,10.1016/j.atmosres.2024.107821,https://api.elsevier.com/content/abstract/scopus_id/85210061516
Spectral scheme for atomic structure calculations in density functional theory,Bhowmik S.,Computer Physics Communications,2025-03-01,10.1016/j.cpc.2024.109448,https://api.elsevier.com/content/abstract/scopus_id/85210061128
Environmental-social-economic synergy of China's investment on BRI countries,Yang Z.,"Resources, Conservation and Recycling",2025-03-01,10.1016/j.resconrec.2024.108039,https://api.elsevier.com/content/abstract/scopus_id/85210058671
Fact-checking in the age of AI: Reducing biases with non-human information sources,Moon W.K.,Technology in Society,2025-03-01,10.1016/j.techsoc.2024.102760,https://api.elsevier.com/content/abstract/scopus_id/85210058325
A citizen science toolkit to collect human perceptions of urban environments using open street view images,Danish M.,"Computers, Environment and Urban Systems",2025-03-01,10.1016/j.compenvurbsys.2024.102207,https://api.elsevier.com/content/abstract/scopus_id/85210053393
A novel implementation of the cohesive zone model for the fatigue propagation of delamination in composites using a sequential static fatigue algorithm,Safaei S.,International Journal of Fatigue,2025-03-01,10.1016/j.ijfatigue.2024.108712,https://api.elsevier.com/content/abstract/scopus_id/85210045229
Design and analysis of a novel octopod platform with spatial 8R reconfigurable trunk,Yang H.,Mechanism and Machine Theory,2025-03-01,10.1016/j.mechmachtheory.2024.105859,https://api.elsevier.com/content/abstract/scopus_id/85210043283
Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context: A deep learning-based hybrid multistage approach,SHANG D.,Computers in Human Behavior,2025-03-01,10.1016/j.chb.2024.108468,https://api.elsevier.com/content/abstract/scopus_id/85210039139
Optimal scale combination selection based on genetic algorithm in generalized multi-scale decision systems for classification,Yang Y.,Information Sciences,2025-03-01,10.1016/j.ins.2024.121685,https://api.elsevier.com/content/abstract/scopus_id/85210038999
Just participation in wind energy: The role of social innovations,Campos I.,Renewable and Sustainable Energy Reviews,2025-03-01,10.1016/j.rser.2024.115146,https://api.elsevier.com/content/abstract/scopus_id/85210037052
High-throughput design and computational screening of PdBiSe-like equiatomic system with multi-fold fermions,Shi D.,Materials Science in Semiconductor Processing,2025-03-01,10.1016/j.mssp.2024.109129,https://api.elsevier.com/content/abstract/scopus_id/85210036824
Reversible source-aware natural language watermarking via customized lexical substitution,Jiang Z.,Information Processing and Management,2025-03-01,10.1016/j.ipm.2024.103977,https://api.elsevier.com/content/abstract/scopus_id/85210033450
A system dynamics model for predicting African armyworm occurrence and population dynamics,Sokame B.M.,"Agriculture, Ecosystems and Environment",2025-03-01,10.1016/j.agee.2024.109378,https://api.elsevier.com/content/abstract/scopus_id/85210033424
"Asparagus: A toolkit for autonomous, user-guided construction of machine-learned potential energy surfaces",Töpfer K.,Computer Physics Communications,2025-03-01,10.1016/j.cpc.2024.109446,https://api.elsevier.com/content/abstract/scopus_id/85210032729
Structural reliability assessment under creep-fatigue considering multiple uncertainty sources based on surrogate modeling approach,Tang Y.Z.,International Journal of Fatigue,2025-03-01,10.1016/j.ijfatigue.2024.108728,https://api.elsevier.com/content/abstract/scopus_id/85210030576
A systematic review on recent methods on deep learning for automatic detection of Alzheimer's disease,Chamakuri R.,Medicine in Novel Technology and Devices,2025-03-01,10.1016/j.medntd.2024.100343,https://api.elsevier.com/content/abstract/scopus_id/85210025300
Design and analysis of an origami-inspired redundant rigid-flexible coupling deployable manipulator,Zhang Z.,Mechanism and Machine Theory,2025-03-01,10.1016/j.mechmachtheory.2024.105852,https://api.elsevier.com/content/abstract/scopus_id/85210019945
Conditional entropy-based hybrid DDoS detection model for IoT networks,Pandey N.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104199,https://api.elsevier.com/content/abstract/scopus_id/85210016505
Fast mixture spatial regression: A mixture in the geographical and feature space applied to predict porosity in the post-salt,Michelin L.,Spatial Statistics,2025-03-01,10.1016/j.spasta.2024.100873,https://api.elsevier.com/content/abstract/scopus_id/85210015430
Deformation pseudo-twinning of the L2<inf>1</inf>-ordered intermetallic superlattice,Rhodes B.E.,Scripta Materialia,2025-03-01,10.1016/j.scriptamat.2024.116468,https://api.elsevier.com/content/abstract/scopus_id/85210015242
Crystal facet regulation enhances the photocatalytic performance for gaseous toluene degradation in BiOCl by promoting the activation of the methyl C(sp<sup>3</sup>)-H bond,Li Y.,Applied Surface Science,2025-03-01,10.1016/j.apsusc.2024.161925,https://api.elsevier.com/content/abstract/scopus_id/85210014820
Fairness considered aggregation mechanism for consumers and prosumers in electricity distribution networks,Liang B.,Electric Power Systems Research,2025-03-01,10.1016/j.epsr.2024.111285,https://api.elsevier.com/content/abstract/scopus_id/85210014775
Sparse loss-aware ternarization for neural networks,Zhou R.,Information Sciences,2025-03-01,10.1016/j.ins.2024.121668,https://api.elsevier.com/content/abstract/scopus_id/85210011946
Integration of Eu-based metal-organic frameworks and carbon dots for multicolor visual intelligent detection of phosphate,Li Y.,Talanta,2025-03-01,10.1016/j.talanta.2024.127270,https://api.elsevier.com/content/abstract/scopus_id/85210011281
Understand your decision rather than your model prescription: Towards explainable deep learning approaches for commodity procurement,Rettinger M.,Computers and Operations Research,2025-03-01,10.1016/j.cor.2024.106905,https://api.elsevier.com/content/abstract/scopus_id/85210010633
Integrating time since deposition estimation of bloodstains into a DNA profiling workflow: A novel approach using fluorescence spectroscopy,Elliott C.I.,Talanta,2025-03-01,10.1016/j.talanta.2024.127234,https://api.elsevier.com/content/abstract/scopus_id/85210008606
Recognizing drivers’ turning intentions with EEG and eye movement,Liu Y.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107218,https://api.elsevier.com/content/abstract/scopus_id/85210008364
Systematic construction of composite radiation therapy dataset using automated data pipeline for prognosis prediction,Lim J.H.,International Journal of Medical Informatics,2025-03-01,10.1016/j.ijmedinf.2024.105712,https://api.elsevier.com/content/abstract/scopus_id/85210007841
Repairing smarter: Opportunistic maintenance for a closed-loop supply chain with spare parts dependency,Boujarif A.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110642,https://api.elsevier.com/content/abstract/scopus_id/85210005525
ITIMCA: Image-text information and cross-attention for multi-modal cassava leaf disease classification based on a novel multi-modal dataset in natural environments,Li H.,Crop Protection,2025-03-01,10.1016/j.cropro.2024.106981,https://api.elsevier.com/content/abstract/scopus_id/85209999602
Semi-Supervised anomaly detection for the prediction and detection of pediatric focal epileptic seizures on fused EEG and ECG data,Karasmanoglou A.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107083,https://api.elsevier.com/content/abstract/scopus_id/85209993380
A hybrid model for detecting intrusions using stacked autoencoders and extreme gradient boosting,Hari H.V.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104212,https://api.elsevier.com/content/abstract/scopus_id/85209992657
Palm vein template protection scheme for resisting similarity attack,Li Y.,Computers and Security,2025-03-01,10.1016/j.cose.2024.104227,https://api.elsevier.com/content/abstract/scopus_id/85209992533
Analysis of the computational costs of an evolutionary fuzzy rule-based internet-of-things energy management approach,Mikus M.,Ad Hoc Networks,2025-03-01,10.1016/j.adhoc.2024.103715,https://api.elsevier.com/content/abstract/scopus_id/85209989192
Current density and thickness dependent anisotropic thermal conductivity of electroplated copper thin films,Zhang H.,Materials Science in Semiconductor Processing,2025-03-01,10.1016/j.mssp.2024.109152,https://api.elsevier.com/content/abstract/scopus_id/85209989117
Airline recovery problem under disruptions: A review,Wu S.,Computers and Operations Research,2025-03-01,10.1016/j.cor.2024.106915,https://api.elsevier.com/content/abstract/scopus_id/85209987918
GB-RVFL: Fusion of randomized neural network and granular ball computing,Sajid M.,Pattern Recognition,2025-03-01,10.1016/j.patcog.2024.111142,https://api.elsevier.com/content/abstract/scopus_id/85209954200
"Boriding effect on CrFeMnNbNi high entropy alloy: Microstructure, micro-nano properties, wear behaviour",Atam D.,Tribology International,2025-03-01,10.1016/j.triboint.2024.110410,https://api.elsevier.com/content/abstract/scopus_id/85209953361
"Artificial intelligence breakthrough in diagnosis, treatment, and prevention of colorectal cancer – A comprehensive review",Kumar A.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107205,https://api.elsevier.com/content/abstract/scopus_id/85209951095
rIDIMS: A novel tool for processing direct-infusion mass spectrometry data,Mansoldo F.R.P.,Talanta,2025-03-01,10.1016/j.talanta.2024.127273,https://api.elsevier.com/content/abstract/scopus_id/85209948653
Incorporation of Q method into DEA cross-efficiency: A case study on airport assessment,Seyedalizadeh Ganji S.,Case Studies on Transport Policy,2025-03-01,10.1016/j.cstp.2024.101332,https://api.elsevier.com/content/abstract/scopus_id/85209947389
Emergency Response Inference Mapping (ERIMap): A Bayesian network-based method for dynamic observation processing,Schneider M.,Reliability Engineering and System Safety,2025-03-01,10.1016/j.ress.2024.110640,https://api.elsevier.com/content/abstract/scopus_id/85209947377
A self-supervised semi-supervised echocardiographic video left ventricle segmentation method,Wang T.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107211,https://api.elsevier.com/content/abstract/scopus_id/85209945071
On the exploitation of control knowledge for enhancing automated planning,Lu X.,Information Sciences,2025-03-01,10.1016/j.ins.2024.121666,https://api.elsevier.com/content/abstract/scopus_id/85209943198
Detection of interictal epileptiform discharges using transformer based deep neural network for patients with self-limited epilepsy with centrotemporal spikes,Tong P.F.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107238,https://api.elsevier.com/content/abstract/scopus_id/85209941264
Integrating medical plastic waste pyrolysis and circular economy for environmental sustainability,Bassyouni M.,Renewable and Sustainable Energy Reviews,2025-03-01,10.1016/j.rser.2024.115062,https://api.elsevier.com/content/abstract/scopus_id/85209940093
Driving forces of grass-livestock balance shifted from human activities to climate change on the top of the earth,Wang Y.,"Agriculture, Ecosystems and Environment",2025-03-01,10.1016/j.agee.2024.109387,https://api.elsevier.com/content/abstract/scopus_id/85209937437
AI-driven 3D bioprinting for regenerative medicine: From bench to bedside,Zhang Z.,Bioactive Materials,2025-03-01,10.1016/j.bioactmat.2024.11.021,https://api.elsevier.com/content/abstract/scopus_id/85209937434
Instability results for cosine-dissimilarity-based nearest neighbor search on high dimensional Gaussian data,Giannella C.R.,Information Processing Letters,2025-03-01,10.1016/j.ipl.2024.106542,https://api.elsevier.com/content/abstract/scopus_id/85209932911
Determination of polystyrene nanospheres and other nanoplastics in water via binding with organic dyes by capillary electrophoresis with laser-induced fluorescence detection,Lai E.P.C.,Talanta,2025-03-01,10.1016/j.talanta.2024.127265,https://api.elsevier.com/content/abstract/scopus_id/85209932262
Domain adversarial wavelet convolutional neural network used for ALS and CSM identification with NEMG signal,Wang X.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107173,https://api.elsevier.com/content/abstract/scopus_id/85209930295
QDCNN-DMN: A hybrid deep learning approach for brain tumor classification using MRI images,Kanchanamala P.,Biomedical Signal Processing and Control,2025-03-01,10.1016/j.bspc.2024.107199,https://api.elsevier.com/content/abstract/scopus_id/85209926486
